IRIS,COMMUNE,population_2021,pop_0_14,pop_15_29,pop_30_44,pop_45_59,pop_60_74,pop_75p,pop_15p_active_base,pop_cs1_agriculteurs,pop_cs2_artisans_commerc_chefs_entr,pop_cs3_cadres_prof_intel_sup,pop_cs4_prof_intermediaires,pop_cs5_employes,pop_cs6_ouvriers,pop_cs7_retraites,pop_cs8_autres_sans_activite,pop_nationalite_francaise,pop_etrangers,pop_immigres,pop_menages
172450000,17245,918.0,194.3,125.3,229.8,179.2,153.2,36.1,734.5,5.1,24.9,65.1,155.4,170.4,95.3,158.2,60.1,913.9,4.1,18.3,918.0
172640101,17264,3033.8,404.5,311.3,420.0,637.6,763.7,496.7,2620.3,4.9,111.7,276.2,383.4,313.8,160.2,1082.4,287.8,2972.7,61.1,107.2,2964.1
172640102,17264,2764.2,374.2,280.8,390.5,543.6,804.1,370.9,2420.1,10.2,120.1,194.6,330.5,319.0,170.6,1026.7,248.4,2699.8,64.4,106.1,2743.6
172670000,17267,1228.0,277.3,151.2,323.0,261.3,159.8,55.5,963.9,4.8,57.6,91.1,191.8,196.8,124.7,206.0,91.2,1214.3,13.7,18.5,1228.0
172740101,17274,2579.5,367.4,433.8,477.6,488.4,542.3,269.9,2194.3,5.3,98.0,222.1,404.8,352.7,191.4,670.3,249.8,2515.9,63.6,110.2,2541.5
172740102,17274,2300.8,303.8,291.9,369.3,474.2,632.6,228.9,1990.6,0.0,84.5,202.1,305.8,314.7,136.5,755.1,192.0,2240.4,60.4,92.1,2298.8
172740103,17274,3860.7,685.8,627.3,647.6,864.9,727.4,307.7,3168.4,10.8,125.6,361.5,683.7,472.5,252.9,847.1,414.3,3753.4,107.4,185.3,3771.7
172910000,17291,6635.0,908.8,886.4,1069.2,1312.3,1470.7,987.6,5830.7,35.8,280.8,358.5,754.9,883.7,489.2,2337.9,690.0,6449.6,185.4,310.7,6130.0
172930000,17293,705.0,157.0,84.3,162.7,129.5,110.0,61.5,529.2,10.0,20.0,10.0,80.1,135.0,104.9,134.2,34.9,703.0,2.0,2.0,705.0
173000101,17300,2292.9,147.2,965.6,334.2,363.6,304.3,178.0,2055.0,0.0,89.6,283.4,270.6,287.8,117.7,391.9,613.9,2086.0,206.8,217.4,2161.9
