Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS3035RES200mN2615000E3468400,1,CRS3035RES1000mN2615000E3468000,0,CRS3035RES4000mN2612000E3468000,649610,11,1.4,0.3,4.6,0.4,255586.4,521.1,0,5,1,0.3,2.3,1.4,0,0,0.7,0,0.5,0.5,0.7,1.4,1.6,2.1,2.5,1,0,0.8,5,17413
CRS3035RES200mN2615000E3468600,0,CRS3035RES1000mN2615000E3468000,0,CRS3035RES4000mN2612000E3468000,649617,69,2,4,21,2,1767627,2552,0,23,0,1,6,16,0,0,6,2,10,4,3,17,13,3,7,4,0,1,23,17413
CRS3035RES200mN2615000E3468800,0,CRS3035RES1000mN2615000E3468000,0,CRS3035RES4000mN2612000E3468000,649612,31,3,1,10,1,766590.6,1577,0,12,0,0,1,11,0,2,0,0,2,4,4,1,10,6,4,0,0,1,12,17413
CRS3035RES200mN2615000E3477400,1,CRS3035RES1000mN2615000E3477000,0,CRS3035RES2000mN2614000E3476000,649648,7,0.4,0,2.4,0,134567.5,235.8,0,2.6,0.8,0.6,0.4,0.8,0,0,0.6,0.2,0.8,0.2,0.4,2,1.4,1,0.2,0.2,0,0.4,2.6,17447
CRS3035RES200mN2615000E3477600,0,CRS3035RES1000mN2615000E3477000,0,CRS3035RES2000mN2614000E3476000,649650,38,6,0,15,0,832955.4,1813,0,18,8,0,1,9,0,0,1,1,0,2,2,6,9,3,10,4,0,2,18,17447
CRS3035RES200mN2615000E3477800,0,CRS3035RES1000mN2615000E3477000,0,CRS3035RES2000mN2614000E3476000,649653,86,6,2,24,0,1615936.2,2787,0,29,11,2,2,14,0,0,2,4,8,10,8,17,25,6,5,1,0,1,29,17447
CRS3035RES200mN2615000E3478000,1,CRS3035RES1000mN2615000E3478000,1,CRS3035RES2000mN2614000E3478000,272935,8,0.2,0.2,2.4,0.2,192586.2,316.2,0,2.9,1,0,0.2,1.7,0,0,0,0,1.4,0.6,0,2.2,1.4,1.2,0.5,0.7,0,0.2,2.9,17447
CRS3035RES200mN2615000E3484600,1,CRS3035RES1000mN2615000E3484000,0,CRS3035RES1000mN2615000E3484000,649678,6,0.2,0.2,2,0.2,149066,264.8,0.1,2.1,1,0.1,0.2,0.8,0.1,0,0.5,0.1,0.6,0.6,0.3,1.5,1.3,0.2,0.6,0.3,0,0.1,2.2,17080
CRS3035RES200mN2615000E3484800,1,CRS3035RES1000mN2615000E3484000,0,CRS3035RES1000mN2615000E3484000,649678,23,0.9,0.7,7.6,0.9,571419.7,1015.1,0.2,8.3,3.7,0.5,0.9,3.2,0.2,0,1.8,0.2,2.3,2.2,1.1,6,5,0.9,2.3,1.2,0,0.5,8.5,17080
CRS3035RES200mN2615000E3485000,1,CRS3035RES1000mN2615000E3485000,0,CRS3035RES1000mN2615000E3485000,649674,4,0.2,0.1,1.4,0.1,95885.4,182.3,0,1.5,0.4,0,0.5,0.6,0,0,0.5,0.3,0.4,0,0,0.9,0.5,0.7,0.6,0.1,0,0,1.5,17080
CRS3035RES200mN2615000E3490600,1,CRS3035RES1000mN2615000E3490000,1,CRS3035RES2000mN2614000E3490000,272967,3,0.4,0.1,0.8,0.1,66675.1,142.9,0.3,1,0.7,0.1,0.3,0.2,0,0,0.1,0.1,0.2,0.3,0.3,0.7,0.6,0.3,0.3,0.1,0,0.2,1.3,17434
