COMMUNE,nom_commune,jobs_1999,jobs_2007,jobs_2008,jobs_2009,jobs_2010,jobs_2011,jobs_2012,jobs_2013,jobs_2014,jobs_2015,jobs_2016,jobs_2017,jobs_2018,jobs_2019,jobs_2020,jobs_2021,jobs_2022,change_pct_1999_2022,change_pct_2012_2022
17338,Saint-Georges-du-Bois,267.0,299.0,300.7,296.0,309.9,330.7,323.1,336.6,360.4,353.8,362.7,353.6,348.2,349.1,329.9,323.2,322.7,20.9,-0.1
17340,Saint-Pierre-la-Noue,199.0,219.4,243.4,285.3,295.6,286.7,283.6,224.8,262.1,261.5,267.5,266.9,255.2,254.5,255.1,259.9,259.0,30.2,-8.7
17349,Saint-Jean-de-Liversay,329.0,349.2,363.0,374.9,379.3,382.3,416.8,423.6,433.5,447.5,423.9,439.6,441.4,445.7,457.2,487.8,493.1,49.9,18.3
17359,Saint-Mard,131.0,128.0,129.9,133.1,122.1,121.4,126.2,131.4,135.1,126.1,128.2,123.6,122.3,122.2,130.3,97.7,102.9,-21.5,-18.5
17373,Saint-Médard-d'Aunis,120.0,150.5,196.5,220.9,264.3,335.2,376.6,385.8,413.8,445.1,445.4,457.5,462.7,469.7,493.3,521.7,535.9,346.6,42.3
17376,Saint-Ouen-d'Aunis,204.0,258.1,265.1,264.5,244.6,253.3,248.4,224.4,248.1,240.5,229.2,244.9,234.9,240.0,239.0,255.5,267.1,30.9,7.5
17382,Saint-Pierre-d'Amilly,202.0,178.7,191.9,185.7,197.8,201.8,213.7,205.3,200.4,194.1,171.1,155.8,167.5,167.8,174.6,172.8,168.6,-16.5,-21.1
17391,Saint-Rogatien,221.0,233.9,219.6,203.4,187.2,161.2,157.1,170.5,186.2,201.9,234.7,257.4,273.4,278.1,326.5,350.9,343.0,55.2,118.3
17394,Saint-Saturnin-du-Bois,91.0,118.1,118.9,118.7,127.5,124.9,125.2,135.4,139.5,135.5,136.3,145.5,137.2,137.2,151.6,159.9,166.3,82.7,32.8
17396,Saint-Sauveur-d'Aunis,292.0,329.6,337.6,350.1,349.3,395.0,412.6,406.8,412.6,434.5,393.8,393.8,412.3,416.2,439.6,473.7,541.7,85.5,31.3
17407,Sainte-Soulle,282.0,430.3,448.5,507.7,549.2,598.8,640.9,693.1,707.3,707.5,717.7,765.9,783.4,803.1,811.9,878.0,935.6,231.8,46.0
17413,Saint-Vivien,200.0,222.6,247.2,256.3,274.8,291.2,293.9,283.7,290.6,299.0,301.8,329.3,342.3,345.3,369.1,379.1,392.4,96.2,33.5
17414,Saint-Xandre,410.0,461.5,461.4,482.8,487.4,472.4,469.7,464.2,471.2,478.3,507.3,519.4,539.7,554.5,568.3,567.7,571.7,39.4,21.7
17420,Salles-sur-Mer,268.0,362.9,373.1,366.2,345.4,370.2,378.6,356.7,358.7,359.6,346.5,352.9,385.3,391.2,418.6,429.6,462.2,72.5,22.1
17434,Surgères,3143.0,3440.8,3468.7,3446.0,3531.4,3528.4,3395.4,3451.3,3543.3,3565.0,3673.5,3643.0,3617.3,3632.3,3725.1,3819.8,3864.1,22.9,13.8
17439,Taugon,109.0,69.4,74.6,77.7,80.4,74.0,63.2,61.7,60.1,57.6,62.1,54.3,53.2,53.3,52.1,51.2,51.2,-53.0,-19.0
17443,Thairé,122.0,136.2,138.2,140.1,142.2,140.6,146.1,144.2,151.5,152.7,158.1,148.3,156.9,158.3,163.4,167.2,176.4,44.6,20.7
17447,Le Thou,110.0,204.0,227.4,261.1,292.0,306.6,318.0,314.4,329.1,318.4,335.7,356.2,376.3,381.9,354.9,382.7,451.5,310.5,42.0
17457,La Devise,148.0,172.5,187.2,207.6,211.2,220.7,205.5,178.4,191.1,183.5,198.5,206.4,209.0,212.1,229.8,239.2,232.7,57.2,13.2
17466,Vérines,112.0,157.1,163.9,163.9,178.9,184.6,198.3,211.0,214.1,211.7,225.4,208.7,198.2,200.6,203.4,207.9,205.2,83.2,3.5
17472,Villedoux,104.0,123.9,131.8,133.7,163.8,150.7,171.0,190.2,202.8,199.5,193.0,194.5,203.6,206.6,210.8,219.3,229.8,121.0,34.4
17480,Virson,57.0,69.9,71.4,54.8,57.2,62.6,59.3,60.5,59.8,57.8,55.0,53.9,52.2,52.5,49.1,53.3,57.6,1.1,-2.9
17482,Vouhé,71.0,64.2,70.3,76.6,78.9,96.8,104.1,102.5,106.0,110.5,91.4,88.2,87.0,88.2,88.0,85.8,87.8,23.7,-15.7
17483,Yves,222.0,222.6,207.2,220.2,225.6,234.6,239.4,259.1,252.7,248.2,248.5,240.8,245.5,246.5,259.6,262.2,275.8,24.2,15.2
