name,address,postal_code,COMMUNE,nom_commune,domain_code,domain,subdomain_code,subdomain,type_code,type,geoloc_quality_code,longitude,latitude
GIRARD,L ORTIE,85420,85132,MAILLÉ,B,Commerces,B2,Commerces alimentaires,B208,COMMERCE SPÉCIALISÉ EN FRUITS ET LÉGUMES,12,-0.77651,46.34157
ECOLE PRIMAIRE PRIVEE SAINT PIENT,1 PL J HERBERT,85420,85132,MAILLÉ,C,Enseignement,C1,Enseignement du premier degré,C108,ÉCOLE PRIMAIRE,11,-0.78921,46.34276
EHPAD MULTISITE VENDEE SEVRE AUTISE LE CEDRE,9 RUE DE LA POSTE,85420,85132,MAILLÉ,D,Sante,D4,Action sociale pour personnes âgées,D401,PERSONNES ÂGÉES : HÉBERGEMENT,11,-0.7871,46.34247
JARDIN DE LA MAIRE,3 GR GRAND RUE,85420,85132,MAILLÉ,F,"Sports, loisirs et culture",F1,Equipements sportifs,F102,BOULODROME,_Z,-0.79058,46.34187
COMPLEXE SPORTIF,RUE DE LA FRAIGNAIE,85420,85132,MAILLÉ,F,"Sports, loisirs et culture",F1,Equipements sportifs,F103,TENNIS,_Z,-0.77605,46.33834
COMPLEXE SPORTIF,RUE DE LA FRAIGNAIE,85420,85132,MAILLÉ,F,"Sports, loisirs et culture",F1,Equipements sportifs,F113,TERRAINS DE GRANDS JEUX,_Z,-0.77637,46.33884
SALLE POLYVALENTE,PL DU PORT,85420,85132,MAILLÉ,F,"Sports, loisirs et culture",F1,Equipements sportifs,F116,SALLES NON SPÉCIALISÉES,_Z,-0.79337,46.341
CIRCUIT DE RANDONNEE AUTOUR DE LA SEVRE,PONT DES SABLONS,17170,85132,MAILLÉ,F,"Sports, loisirs et culture",F2,Equipements de loisirs,F203,BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION,_Z,-0.82534,46.3368
PORT DE MAILLE,PORT DE MAILLE,85420,85132,MAILLÉ,F,"Sports, loisirs et culture",F2,Equipements de loisirs,F203,BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION,_Z,-0.7937,46.34076
BIBLIOTHÈQUE MUNICIPALE,3 RUE DE LA MAIRIE,85420,85132,MAILLÉ,F,"Sports, loisirs et culture",F3,Equipements culturels et socioculturels,F307,BIBLIOTHÈQUE,11,-0.79074,46.34192
