idINS,distance,tt_bike,tt_car,tt_walk,tt_transit,part_transit,walktime
CRS3035RES200mN2627000E3478600,34287.63888369215,221.6086100075929,61.706418989556575,311.55993661344,NA,NA,NA
CRS3035RES200mN2627000E3492600,37930.43927969198,250.66294422703646,63.30038284920399,353.62038539446104,10.399999999999999,2.1210482220313242e-4,10.399999999999999
CRS3035RES200mN2631800E3463400,34111.00267767995,221.41869383679767,53.89832758464192,315.9401833529999,65.06260150597963,0.46108287192520647,21.55056597273488
CRS3035RES200mN2611400E3477200,29321.07360621538,190.3606071505647,56.692712754478094,266.4818502266024,10.557692307692308,0.0014962952305589525,10.557692307692308
CRS3035RES200mN2614400E3475200,33517.725599855665,212.4828552528714,53.6466534367671,298.3979553791567,NA,NA,NA
CRS3035RES200mN2617200E3494200,38293.274684031916,251.0300371580894,68.41748791430008,354.4128027638652,NA,NA,NA
CRS3035RES200mN2619800E3472400,32019.361401786355,211.0968367615718,52.39851775580087,296.3641435789373,61.00093585162498,0.42218816599219366,23.114026430718607
CRS3035RES200mN2622800E3474200,33041.3948475975,214.58235426620342,52.28309760637365,301.3000509786725,67.69746562109322,0.4172663576331677,15.132736674622096
CRS3035RES200mN2622800E3474600,32965.959898146495,216.1253034878898,53.078924616568976,303.1709717534197,64.06792227714347,0.4169124178362049,11.177166070109667
CRS3035RES200mN2625400E3462600,37479.27033447538,244.4937723598781,49.513609949080994,353.91920157489255,31.043838716819604,0.3847224062541407,16.498804398632185
CRS3035RES200mN2625400E3463800,26270.504866935902,168.7505695350523,37.248860929895415,245.94696852024438,3,1.0355182768975873e-4,3
CRS3035RES200mN2625400E3464200,26273.063957824354,169.21728172817282,36.59290214735759,246.2952295229523,40.05257201899186,0.5226822682268227,23.46111589460995
CRS3035RES200mN2632000E3491200,37456.60343467699,249.05263489993584,57.58060343467699,351.56612226440495,NA,NA,NA
CRS3035RES200mN2611200E3480800,30908.67772974084,200.49778010684585,58.17808637931789,281.2296897972263,NA,NA,NA
CRS3035RES200mN2611200E3482000,30823.436090341405,200.32265474446913,60.933384722115115,280.8242503661448,NA,NA,NA
CRS3035RES200mN2614400E3492400,36502.151900083976,243.50988363568504,67.21469416045746,343.7099156258747,82.10814491964042,0.342521626701145,33.26091372533763
CRS3035RES200mN2617400E3498600,38838.771654620774,258.14930274795677,71.0241083757324,364.33418338786123,2.8405797101449277,0.0017166954855884658,2.8405797101449277
