COMMUNE,distance,tt_bike,tt_car,tt_walk,tt_transit,part_transit,walktime
17293,35674.26657936844,239.60463491986096,63.884478483966994,337.54339352851395,19.74854367043676,5.756465850744774e-4,19.74854367043676
17109,30877.209105337177,199.500751523502,50.27902011884909,283.17861194752317,61.35914840735582,0.43391430889197463,15.307751742987339
17245,31949.68739858889,205.8069580063264,51.90453502619584,290.24307783150437,63.19493810085126,0.4283290263649152,18.571996139087478
17091,29816.811026031377,196.05210653673112,54.94274599178939,274.76094999157027,28.32645660600265,0.0023874886627635863,24.934477076939697
17447,28781.364399856066,196.91939742812002,53.30970938604088,275.9929421132714,71.68080374297503,0.14295829185871878,27.154843830668167
17315,32797.26442106563,221.03413345713113,53.93200797588894,310.6657064311143,77.12528192333511,0.34662445341588893,20.355426824713216
17480,32702.183489509483,223.392446229247,58.363984470448784,314.20040957736376,34.31687968267959,8.931421918695725e-5,34.31687968267959
17391,29920.65539133201,185.65356016016753,50.51758215004779,269.55640979338926,58.69046499190735,0.4589968974917612,16.477598387832206
17414,29948.240558333204,192.48725245323462,50.54331066525884,273.8866438758201,58.74482527488445,0.44882980522710497,17.36452287261732
17208,37308.31181127955,238.69387045393174,56.837462207744885,336.4057758903603,19.753013635842784,6.254354189635503e-4,19.753013635842784
17338,38157.87345606217,252.74911370053334,68.20462042594808,356.6387082091515,15.471939616984754,0.0012609987905867032,15.471939616984754
17394,39184.42661738451,257.2291344858504,71.11347666933368,363.04355640151186,10.209201279256892,0.0012255189814256908,10.209201279256892
17482,36271.390747995014,246.29221937898754,63.917638003885926,347.3604868276442,14.607484488358974,7.23160056496423e-4,14.607484488358974
17028,29983.98800571247,187.57569542121686,40.80282547395227,271.00812440309636,43.88181455802194,0.5012994390660981,19.08636460087299
17193,24060.977109682968,149.82448069948325,44.4057869095931,215.01339028946595,68.36399192128046,0.5605854477258869,23.596841974347655
17321,36297.51538739379,228.78730416608445,64.30402170507526,322.2763451074119,22.36167806707855,6.323153482351284e-4,22.36167806707855
17186,35014.37013374166,230.1028990338251,58.78531659712316,324.05814858548297,1,1.146948084588006e-5,1
17434,36626.574239872825,243.2039203601535,67.53849292955373,343.2945902874956,77.4908949009213,0.32759485848127323,27.2609595955404
17127,36811.322193954016,247.8244730650893,57.79098773509966,349.703467729545,11.333597589489981,0.001929699896131681,11.333597589489981
17063,37473.96419131551,246.67176672683186,67.72219331681406,347.70096237871354,24.51641953264498,4.406220906618894e-4,24.51641953264498
17420,25702.12299098175,163.20287439593898,46.10104783994112,227.82115818863784,65.66199423391467,0.49652256677373396,18.57132081399131
17057,34100.797322865306,228.28847504802397,60.470352914967926,321.309715379635,28.462530904202964,3.4998640138888686e-4,28.462530904202964
17200,32868.6773628759,209.34348493378502,44.95752337013982,305.35159400914034,45.972555548980615,0.4645204809199197,19.89768429991133
17166,30436.805321911626,210.98573365010103,58.194173668050745,296.3952863388255,19.663906059228523,9.565236590695693e-4,19.663906059228523
17472,32065.194367393928,210.76941804452764,52.50367123654723,294.215778864844,51.48452769407978,0.0022874736180042263,24.70824904415046
17274,25453.781594023527,150.60332244992313,45.5007410534123,218.9195740651961,50.34788146955255,0.5582136769817918,18.063031311549903
17396,36161.438839119604,238.90779097612756,56.73495253865054,336.97326526366163,18.15088838043002,0.0023718138549556358,18.15088838043002
17291,30418.723978103037,195.76362758578472,46.15391325074879,283.7016983816469,49.02492879206346,0.47466230928354775,19.434287103963104
17080,33255.12217142437,222.37865930963937,62.22315669054742,312.3364834695595,15.278517529485548,5.633557506168839e-4,15.278517529485548
17322,37432.63869205786,243.0473769103479,60.58029891738505,342.75237658026634,12.977683038946882,8.03300171551654e-4,12.977683038946882
17413,26132.95383315929,160.4011113743667,45.921248844211824,227.57694014226527,69.46070497195639,0.5521842008811353,20.753655369164335
17132,38855.28498810993,255.4938524038072,64.93299688410782,360.84681685198575,15.459622545700745,3.0269660689630624e-4,15.459622545700745
17153,29850.12182674253,196.9555581343205,52.23378591405941,273.7502280164531,69.52957858305219,0.4261036670204067,14.470369249239504
17340,34291.81987925058,226.7221165275275,63.856296787897165,318.8898356858188,20.71792322905989,1.4498104739825438e-4,20.71792322905989
17194,31084.144358786125,207.29183695716682,51.74362011288319,291.17239258711726,63.528285035473765,0.4251569405489554,22.357055282838015
17142,33557.92115225051,208.2590809820948,51.61857005971771,301.582827091724,53.88533692868785,0.3936496129910568,19.553971569162215
