idINS,km_pa,f_i,ind_18_64,IRIS,COMMUNE
CRS3035RES200mN2607400E3486800,13227.893238336133,0.8725407293915962,1.0999999999999999,171740000,17174
CRS3035RES200mN2607400E3490000,12387.364375730736,1.5217259889351837,2.3000000000000003,174570000,17457
CRS3035RES200mN2607400E3496800,12388.07425021952,3.6142448489852024,5.700000000000001,170630000,17063
CRS3035RES200mN2607600E3467800,10395.654529972655,0.9883521908054719,1.3000000000000003,174830000,17483
CRS3035RES200mN2607600E3478200,12266.261362595516,0.4734306735188704,0.7000000000000001,171070000,17107
CRS3035RES200mN2607600E3478400,12117.82956836225,3.511795609668048,5.2,171070000,17107
CRS3035RES200mN2607600E3490000,11926.079426071492,2.911127978832141,4.4,174570000,17457
CRS3035RES200mN2607600E3492800,12364.346472132627,1.8525359865298714,2.8,174570000,17457
CRS3035RES200mN2607600E3493200,11776.674627804452,0.5954579956703157,0.9000000000000001,174570000,17457
CRS3035RES200mN2607800E3477400,12126.58742261618,0.47343067351888146,0.7000000000000001,171070000,17107
CRS3035RES200mN2607800E3487200,13194.912226705621,1.6657595742930429,2.0999999999999996,171740000,17174
CRS3035RES200mN2607800E3487400,13229.315840628575,7.694222795544081,9.700000000000001,171740000,17174
CRS3035RES200mN2607800E3487600,13115.066197261385,0.872540729362392,1.0999999999999999,171740000,17174
CRS3035RES200mN2607800E3490000,11785.74742276022,1.124753991821053,1.6999999999999997,174570000,17457
CRS3035RES200mN2607800E3491800,13337.597802153457,3.7712339725786643,5.7,174570000,17457
CRS3035RES200mN2607800E3492000,13234.911170861937,4.366691968249036,6.6,174570000,17457
CRS3035RES200mN2607800E3493000,12152.922704248444,1.5217259887834333,2.3,174570000,17457
CRS3035RES200mN2607800E3495600,11754.530467445456,0.6340780436815451,1,170630000,17063
CRS3035RES200mN2607800E3495800,11985.764230193272,0.634078043681616,1,170630000,17063
CRS3035RES200mN2608000E3488200,13181.385192704127,0.8725407293915979,1.1,171740000,17174
CRS3035RES200mN2608000E3490000,12283.077604767652,0.860105993745979,1.3,174570000,17457
CRS3035RES200mN2608000E3494600,12596.12559351338,19.84859985550831,30,174570000,17457
CRS3035RES200mN2608000E3494800,12617.346587676619,0.7277819946845385,1.1,174570000,17457
CRS3035RES200mN2608000E3495600,11569.612615625972,4.818993131979718,7.6,170630000,17063
CRS3035RES200mN2608000E3495800,11334.897641151872,9.511170655221514,15,170630000,17063
CRS3035RES200mN2608000E3496000,11616.867841005893,5.5798867843977185,8.8,170630000,17063
CRS3035RES200mN2608200E3476600,11491.612556299027,0.8147906979571201,1.2000000000000002,171070000,17107
CRS3035RES200mN2608200E3486800,12988.561254934586,1.0311844983718848,1.3,171740000,17174
CRS3035RES200mN2608200E3487000,13114.719376330673,1.5071158053127613,1.9,171740000,17174
CRS3035RES200mN2608200E3488600,13130.137602697952,2.1416908812339135,2.7,171740000,17174
CRS3035RES200mN2608200E3488800,13196.781929753597,0.39660942245072545,0.5,171740000,17174
CRS3035RES200mN2608200E3490200,11726.669006735343,0.46313399663233956,0.7,174570000,17457
CRS3035RES200mN2608200E3494400,12599.530736460689,12.04148391186756,18.2,174570000,17457
CRS3035RES200mN2608200E3494600,11399.148683794727,17.86373987010893,27,174570000,17457
CRS3035RES200mN2608200E3494800,12186.779114897992,4.035881970653919,6.1000000000000005,174570000,17457
CRS3035RES200mN2608200E3495600,12023.62216226479,5.770110197502702,9.100000000000001,170630000,17063
CRS3035RES200mN2608200E3495800,11449.12941626376,7.989383350386645,12.600000000000001,170630000,17063
CRS3035RES200mN2608200E3496000,11990.799127453567,3.487429240248913,5.5,170630000,17063
CRS3035RES200mN2608200E3496400,12321.445144548017,1.7120107179403632,2.7,170630000,17063
CRS3035RES200mN2608400E3467200,9916.419864118796,0.9883521908178572,1.2999999999999998,174830000,17483
CRS3035RES200mN2608400E3467800,9048.41545980044,19.608808058408872,26,174830000,17483
CRS3035RES200mN2608400E3468000,9493.656868821236,15.001481240505118,20,174830000,17483
CRS3035RES200mN2608400E3468400,10282.83177370951,1.5831074072470892,2.1,174830000,17483
CRS3035RES200mN2608400E3487200,13135.637548479113,1.0311844983719023,1.3,171740000,17174
CRS3035RES200mN2608400E3487400,13173.467023854308,6.66303829717206,8.399999999999999,171740000,17174
CRS3035RES200mN2608400E3488800,12825.534399673592,2.1416908812339197,2.7,171740000,17174
CRS3035RES200mN2608400E3494400,11821.046822162483,4.03588197065407,6.1000000000000005,174570000,17457
CRS3035RES200mN2608400E3495800,11875.081253157316,12.491337460527838,19.700000000000003,170630000,17063
CRS3035RES200mN2608600E3467200,10744.608618347513,1.4445147404260974,1.9,174830000,17483
CRS3035RES200mN2608600E3467600,9772.14356266349,10.408948840902394,13.8,174830000,17483
CRS3035RES200mN2608600E3467800,8945.342491930885,34.26880985953222,46,174830000,17483
CRS3035RES200mN2608600E3468000,9100.896718755508,25.465889458686966,34,174830000,17483
CRS3035RES200mN2608600E3468200,9329.134043085716,0.7573011076926464,1,174830000,17483
CRS3035RES200mN2608600E3476200,11467.306111326898,2.4925672299269768,3.7,171070000,17107
CRS3035RES200mN2608600E3487400,13195.173786235055,1.9830471122536335,2.5,171740000,17174
CRS3035RES200mN2608600E3487600,13088.588147345032,1.9830471122536293,2.5,171740000,17174
CRS3035RES200mN2608600E3488000,13020.197644217451,0.8725407293915971,1.1,171740000,17174
CRS3035RES200mN2608600E3489200,13312.07683730746,1.3232399903784955,2,174570000,17457
CRS3035RES200mN2608600E3489400,12769.710037854114,3.837395971667171,5.8,174570000,17457
CRS3035RES200mN2608600E3490000,12024.201587408043,5.2267979619936185,7.8999999999999995,174570000,17457
CRS3035RES200mN2608600E3490200,10248.40413443079,4.300529968721861,6.5,174570000,17457
